Time	-73	-72	-71	-70	-69	-68	-67	-66	-65	-64	-63	-62	-61	-60	-59	-58	-57	-56	-55	-54	-53	-52	-51	-50	-49	-48	-47	-46	-45	-44	-43	-42	-41	-40	-39	-38	-37	-36	-35	-34	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
0.000	128	53	1	7	96	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	9	4	0	0	0	0	0	10	21	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	1	3	27	37	98	16	0	0	10	8	4	0	0	0	13	1	2	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	39	20	12	0	13	21	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	7	0	17	9	0
0.200	128	53	1	7	96	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	9	4	0	0	0	0	0	10	21	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	1	3	27	37	98	16	0	0	10	8	4	0	0	0	13	1	2	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	39	20	12	0	13	21	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	7	0	17	9	0
0.400	93	60	1	12	51	5	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	0	13	20	0	0	0	0	1	0	0	3	18	1	0	0	0	0	0	0	6	27	42	94	19	2	0	12	14	5	0	0	0	12	2	1	7	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	56	19	9	0	9	20	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	33	0	21	13	0
0.600	110	63	6	13	63	4	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	18	21	0	0	0	0	2	0	0	5	9	0	0	0	0	0	0	6	15	26	48	107	30	1	0	16	5	0	0	0	0	11	1	2	11	0	0	0	0	0	0	0	13	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	43	20	11	0	2	16	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	23	0	15	13	1
0.800	111	61	5	12	62	9	0	0	0	3	0	1	15	0	0	0	0	0	0	0	0	0	2	11	4	0	0	0	0	0	11	18	0	0	0	0	1	0	0	3	17	1	0	0	0	0	0	12	14	32	39	111	38	0	0	18	6	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	10	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	21	17	0	1	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	0	16	16	0
1.000	70	58	10	9	58	11	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	14	24	0	0	0	0	0	0	0	3	13	0	0	0	0	0	0	15	19	20	34	85	40	1	0	15	6	0	0	0	1	10	3	0	1	0	0	0	0	0	0	0	13	1	0	0	0	1	0	0	0	0	0	0	0	0	0	8	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	52	19	16	0	4	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	18	0	16	12	0
1.200	57	53	8	11	63	10	0	0	0	1	0	1	18	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	23	23	0	0	0	0	4	0	0	3	14	0	0	0	0	0	0	10	23	23	45	69	37	2	0	14	5	0	0	0	0	12	6	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	34	19	1	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	26	0	17	7	0
1.400	80	42	10	14	33	16	0	0	0	1	0	1	26	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	16	18	0	0	0	0	0	0	0	3	19	0	0	0	0	0	0	11	21	25	45	106	34	0	0	11	10	10	0	0	0	15	1	0	7	0	0	0	0	0	0	0	17	1	0	0	0	1	0	0	0	0	0	0	0	0	1	13	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	23	0	16	17	0
1.600	62	51	15	16	42	14	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	3	13	0	0	0	0	0	0	14	23	0	0	0	0	2	0	0	2	5	0	0	0	0	0	0	9	25	20	35	96	22	0	0	12	5	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	14	1	0	0	0	1	0	0	0	0	0	0	0	0	2	12	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	19	2	0	0	16	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	23	0	17	6	0
